"","Manuscript.Number","Author.Name","Article.Title","Article.Type","Current.Status","Status.Date","Initial.Date.Submitted","Review.Status","DOI","Short.Title","Keywords","Reviewers","Handling.Editor","Assigned.Editors","Country","is_China"
"135","PNMC-D-22-00056","Weisheng Xu (CHINA)","H-NMR-based Metabolomic Technology Detects Potential Serum Metabolic Biomarkers for Type 2 Diabetic Peripheral Neuropathy","Article","Under Review","08 Nov 2022","02 Oct 2022","2 Complete; 0 Partial Review Saved; 2 Agreed; 28 Declined; 2 Late",NA,"","","Rui A. Carvalho * ; Department of Endocrinology and Metabolism * ; Atul Rawat, PhD * ; Valeria Righi *","Chen Ding","Chen Ding","CHINA","China"
"136","PNMC-D-22-00057","Jiucun Wang (CHINA)","Quantitative assessment of ultraviolet-induced erythema and tanning phenotypes in Han Chinese population","Article","Revise","07 Nov 2022","07 Oct 2022","3 Complete; 0 Partial Review Saved; 16 Declined",NA,"","","Carolyn J. Heckman * ; Wei Liu * ; Marty O. Visscher *","Sankari Gireesa","Chen Ding","CHINA","China"
"137","PNMC-D-22-00058","Jiaxing Tian (CHINA)","Investigation on Phenomics of traditional Chinese medicine from the diabetes","Review","Revise","01 Nov 2022","08 Oct 2022","3 Complete; 0 Partial Review Saved; 10 Declined",NA,"","","Dayue Darrel Duan, M.D., Ph.D. * ; Zhijun Xie * ; Vincent Yeung, Ph.D. *","Sankari Gireesa","Chen Ding","CHINA","China"
"138","PNMC-D-22-00059","Gang Liu (CHINA)","Recent advances in reference materials and measurement standards in phenomics","Review","Under Review","22 Nov 2022","02 Nov 2022","2 Complete; 0 Partial Review Saved; 1 Agreed; 26 Declined",NA,"","","Hendrik Emons, PhD, DSc * ; liang li * ; Konstantinos Petritis *","Chen Ding","Chen Ding","CHINA","China"
"139","PNMC-D-22-00060","Alessandra Ferrandino (ITALY)","Morpho-chemical diversity of grapevine leaves from Iran","Article","Reviews Completed","30 Nov 2022","02 Nov 2022","5 Complete; 0 Partial Review Saved; 2 Agreed; 26 Declined",NA,"","","Susana Boso * ; Zvjezdana Marković * ; Darko Preiner * ; Luis Gonzaga Santesteban * ; Iva Šikuten * ; Seyed Mehdi Talebi * ; Pasquale Venerito *","Chen Ding","Chen Ding","ITALY","Overseas"
"140","PNMC-D-22-00061","Yun Liu (CHINA)","A Common Functional Variant at the Enhancer of the Rheumatoid Arthritis Risk Gene ORMDL3 Regulates Its Expression through Allele-Specific JunD Binding","Article","Revise","24 Nov 2022","01 Nov 2022","3 Complete; 0 Partial Review Saved; 15 Declined",NA,"","","Kerstin Klein * ; bo wen * ; Xiaolei Zhang *","Sankari Gireesa","Chen Ding","CHINA","China"
"141","PNMC-D-22-00062R1","Xiang Li (AUSTRIA)","Performance of 18F-DCFPyL PET/CT in primary prostate cancer diagnosis, Gleason grading and D'Amico classification: A radiomics-based study","Article","Revise","23 Nov 2022","01 Nov 2022","3 Complete; 0 Partial Review Saved; 10 Declined",NA,"","","jie ding * ; Paola Mapelli * ; Alessandro Stefano *","Sankari Gireesa","Chen Ding","AUSTRIA","Overseas"
"142","PNMC-D-22-00063","Haijian Wang (CHINA)","Amyotrophic lateral sclerosis and risk of colorectal cancer: Mendelian randomization interrogation of causality and mediation using GWAS summary data","Article","Under Review","25 Nov 2022","11 Nov 2022","1 Complete; 0 Partial Review Saved; 3 Agreed; 19 Declined",NA,"","","Nicola Fini * ; Maurizio Grassano * ; Daniela Mariosa * ; Francesca Palumbo *","Chen Ding","Chen Ding","CHINA","China"
"143","PNMC-D-22-00064","Daru Lu (CHINA)","HMGA1 suppresses the γ-globin expression by activating the transcription of STAT3","Article","Under Review","29 Nov 2022","13 Nov 2022","1 Agreed; 2 Invited - No Response; 3 Declined",NA,"","","Alfredo Fusco * ; Sjaak philipsen * ; Jackie Sloane-Stanley *","Huiru Tang","Huiru Tang, PhD","CHINA","China"
"144","PNMC-D-22-00065","Zhipeng Xu (CHINA)","The role of secure computing environment in the International Human Phenome Project for the collaborative scientific research.","Brief Communication","Under Review","20 Nov 2022","15 Nov 2022","1 Complete; 0 Partial Review Saved; 1 Agreed; 17 Declined",NA,"","","Susan E. Wallace * ; Weiyi Xia *","Chen Ding","Chen Ding","CHINA","China"
"145","PNMC-D-22-00066R1","Jianping Jia (CHINA)","Genetic phenotypes of Alzheimer’s disease: mechanisms and potential therapy","Review","Sent Back to Author","22 Nov 2022","16 Nov 2022","",NA,"","","","","","CHINA","China"
"146","PNMC-D-22-00067","Menghan Hu (CHINA)","Auxiliary Diagnosis of Papillary Thyroid Carcinoma Based on Spectral Phenotype to Potentially Reduce Intraoperative Diagnostic Time","Article","Reviewers Assigned","29 Nov 2022","18 Nov 2022","15 Invited - No Response; 14 Declined",NA,"","","Laura Agate * ; Marek Dedecjus * ; Andrea Frasoldati * ; Tamar Giorgadze * ; Tae Kwun Ha * ; Toshitetsu Hayashi * ; Takumi Kudo * ; Young Hen Lee * ; Ana Luiza Maia * ; Tadao Nakazawa * ; Valentin Nikitaev * ; Iwona Pałyga * ; Tania Pilli * ; Michael Tamilia * ; Svetislav Tatić *","Chen Ding","Chen Ding","CHINA","China"
"147","PNMC-D-22-00068","weicheng chen (CHINA)","Next Generation Sequencing-Based Copy Number Variation Analysis Identified Novel DNAH5 Copy Number Variations in Patient with Primary Ciliary Dyskinesia","Article","Reviewers Assigned","24 Nov 2022","20 Nov 2022","15 Declined",NA,"","","","Chen Ding","Chen Ding","CHINA","China"
"148","PNMC-D-22-00069","Cuiwei Yang (CHINA)","Deep neural network-estimated heart age as a predictor of cardiovascular disease among a large population: a study protocol for a retrospective trial (HPCD-LP)","Protocol","Revise","27 Nov 2022","24 Nov 2022","",NA,"","","","Sankari Gireesa","Chen Ding","CHINA","China"
"149","PNMC-D-22-00070","Zhiyuan Hu (CHINA)","A Proactive Intervention Study in Metabolic Syndrome High-Risk Populations Using Phenome-Based Actionable P4 Medicine Strategy","Article","Editor Assigned","29 Nov 2022","29 Nov 2022","",NA,"","","","Chen Ding","Chen Ding","CHINA","China"
